Unit,Description/Abilities,Tier,Type,Factory,Role,BC,MC,EC,health,speed,damage,,Structure,Description,Tier,Type,BC,MC,EC,EP,MP,Health
Grunt,Fast infantry bot,1,Bot,Bot Lab,,1279,36,880,290,84,74,,Energy Converter,Converts 70 energy into 1 metal per sec,1,Building,2682,1,1250,-70,1,167
Graverobber,stealthy rez/reclaim,1,Bot,Bot Lab,,2400,110,1400,220,78,,,Naval Energy Converter,Converts 70 energy into 1.1 metal per sec,1,Building,2682,1,2500,-70,1.1,133
Aggravator,Rocket bot,1,Bot,Bot Lab,,1949,110,1150,740,48,41,,Beholder,Perimeter Camera,1,Building,750,32,850,-13,0,280
Construction Bot,Tech 1 constructor,1,Bot,Bot Lab,,3551,120,1750,660,,,,Wind Turbine,Produces Energy. Depends on wind strength.,1,Building,1687,45,175,wind speed,0,199
Trasher,Amphibious Anti-Air,1,Bot,Bot Lab,,1900,125,1100,640,53,55,,Radar Tower,,1,,1137,60,630,,,90
Thug,Light Plasma Bot,1,Bot,Bot Lab,,1971,140,1150,1000,45,60,,Naval Radar/Sonar Tower,,1,,1800,130,1000,,,114
Cortex Commander,Commander,,, ,,,2700,26000,3350,38,111614,,Metal Extractor,Extracts Metal from Metalspots,1,Building,1874,50,500,-3,metalspot,194
Bedbug,Amphibious crawling bomb,2,,Advanced Bot Lab,,7899,69,5800,620,81,2000,,Tidal Generator,Produces Energy (depends on map),1,Building,2094,85,250,map,0,395
Deceiver,Radar Jammer Bot,2,,Advanced Bot Lab,,5439,75,1550,345,39,,,Sonar Station,Early Warning System,1,Building,,20,450,0,0,58
Augur,Radar Bot,2,,Advanced Bot Lab,,3945,99,1350,390,45,,,Solar Collector,Produces 20 Energy,1,Building,2800,150,0,20,0,355
Spectre,Spy Bot,2,,Advanced Bot Lab,,22247,165,12500,380,62,,,Energy Storage,Increases Energy Storage (6000),1,Building,4257,175,1800,0,0,2000
Fiend,Fast Assault Bot,2,,Advanced Bot Lab,,5027,200,3000,1060,83,240,,Exploiter,Armed Metal Extractor,1,Building,2724,240,1900,,,1440
Twitcher,Combat Engineer,2,,Advanced Bot Lab,,6488,210,3800,830,90,,,Construction Turret,Assist & Repair in large radius. Transportable,1,Building,5312,210,3200,0,0,560
Duck,Amphibious Bot,2,,Advanced Bot Lab,,9650,330,9500,2350,56,174,,Castro,Short Range Jamming Device,1,Building,4577,115,5200,-65,0,1070
Sheldon,Mobile Mortar Bot,2,,Advanced Bot Lab,,5139,410,2200,940,50,66,,Naval Construction Turret,,,,,230,2600,,,560
Advanced Construction Bot,Tech 2 constructor,2,,Advanced Bot Lab,,9700,470,6900,1000,33,,,Naval Energy Storage,Increases Energy Storage (6000),1,Building,7241,300,2700,0,0,3400
Skuttle,Adv. Amphibious crawling bomb,2,,Advanced Bot Lab,,16975,540,26000,355,84,3350,,Metal Storage,Increases Metal Storage (3000),1,Building,2925,340,590,0,0,2100
Sumo,Armored Assault Bot,2,,Advanced Bot Lab,,11734,560,9300,5400,38,344,,Advanced Solar Collector,Produces 75 Energy,1,Building,8143,370,4000,75,0,1200
Arbiter,Heavy Rocket Bot,2,,Advanced Bot Lab,,6600,600,5800,610,54,100,,Naval Metal Storage,Increases Metal Storage (3000),1,Building,3874,370,1600,0,0,3900
Manticore,Heavy Amphibious Anti-Air Bot,2,,Advanced Bot Lab,,7600,650,6200,1420,35,249,,Geothermal Powerplant,Produces 300 Energy,1,Building,12875,540,13000,300,0,2050
Termite,Heavy All-terrain assault spider,2,,Advanced Bot Lab,,18834,700,12000,3100,48,331,,Advanced Radar Tower,Long Range Radar,2,Building,11960,560,19000,0,0,365
Commander,Decoy Commander,2,,Advanced Bot Lab,,26941,750,13000,3350,38,411,,Shroud,Long-Range Jamming Tower,2,Building,9392,130,20000,-125,0,890
Commando,Stealthy paratrooper bot,2,,Advanced Bot Lab,,17131,1200,15500,1560,75,200,,Advanced Sonar Station,Extended Sonar,,,,160,2400,,,2400
Mammoth,Heavy Armored Assault Bot,2,,Advanced Bot Lab,,50975,2200,35000,15600,23,503,,Advanced Energy Converter,Converts 600 energy into 10.3 metal per sec,2,Building,31253,370,21000,-600,10.3,560
Shiva,Amphibious Siege Mech,3,,Experimental Gantry,,30609,1550,23000,9400,48,407,,Naval Advanced Energy Converter,Converts 650 energy into 11 metal per sec,2,,,400,23500,-650,11,445
Karganeth,All-Terrain Assault Mech,3,,Experimental Gantry,,50609,1650,38000,10000,45,556,,Air Repair Pad,Automatically Repairs Aircraft,2,Building,9315,400,4400,0,0,1780
Catapult,Heavy Rocket Bot,3,,Experimental Gantry,,127000,4900,80000,6100,48,600,,Advanced Metal Extractor,Advanced Metal Extractor/Storage,2,Building,14125,640,8100,-20,4 x metalspot,3900
Behemoth,Mobile Heavy Turret,3,,Experimental Gantry,,630000,20000,513000,335000,17,1121,,Naval Advanced Metal Extractor,Advanced Metal Extractor/Storage,,,,710,10500,,,2300
Juggernaut,Experimental Assault Bot,3,,Experimental Gantry,,555000,29000,615000,149000,34,4190,,Hardened Metal Storage,Increases Metal Storage (10000),2,Building,20524,760,11000,0,0,11200
Rascal,Light scout vehicle,1,,Vehicle Plant,,1150,26,270,75,153,30,,Pinpointer,"Enhanced Radar Targeting, more facilities enhance accuracy",2,Building,10898,800,7500,-100,0,2000
Trapper,Stealthy minelayer/minesweeper,1,,Vehicle Plant,,3640,61,1300,172,69,40,,Hardened Energy Storage,Increases Energy Storage (40000),2,Building,20416,840,11000,0,0,12700
Incisor,Light Tank,1,,Vehicle Plant,,1761,118,1042,820,86,98,,Cerberus,Geothermal Plasma Battery,2,Building,59640,3100,35000,,0,8300
Construction Vehicle,Tech 1 constructor,1,,Vehicle Plant,,4160,145,2100,1430,51,,,Advanced Geothermal Powerplant,Produces 1250 Energy (Hazardous),2,Building,32078,1500,27000,1250,0,4150
Lasher,Missile Truck,1,,Vehicle Plant,,3435,155,2400,860,42,48,,Advanced Exploiter,Armed Advanced Metal Extractor,2,,32500,2400,12000,,,7800
Wolverine,Light Mobile Artillery,1,,Vehicle Plant,,3254,155,2300,640,51,45,,Fusion Reactor,Produces 1100 Energy,2,Building,75424,4500,26000,1100,0,5000
